No,Category,Icon Name,Keywords,Library,Import Code,Usage,Best For,Style
1,Navigation,list,hamburger menu navigation toggle bars,Phosphor,import { List } from '@phosphor-icons/react',"<List size={20} weight=""regular"" />",Mobile nav drawer for practice areas & attorney directory,Outline
2,Navigation,arrow-left,back previous return navigate,Phosphor,import { ArrowLeft } from '@phosphor-icons/react',"<ArrowLeft size={20} weight=""regular"" />",Back to case list or practice area navigation,Outline
3,Navigation,arrow-right,next forward continue navigate,Phosphor,import { ArrowRight } from '@phosphor-icons/react',"<ArrowRight size={20} weight=""regular"" />","Free consultation CTA, next intake step",Outline
4,Navigation,caret-down,dropdown expand accordion select,Phosphor,import { CaretDown } from '@phosphor-icons/react',"<CaretDown size={20} weight=""regular"" />","Practice areas dropdown, FAQ accordion",Outline
5,Navigation,caret-up,collapse close accordion minimize,Phosphor,import { CaretUp } from '@phosphor-icons/react',"<CaretUp size={20} weight=""regular"" />",Collapse FAQ or case details accordion,Outline
6,Navigation,house,homepage main dashboard start,Phosphor,import { House } from '@phosphor-icons/react',"<House size={20} weight=""regular"" />",Home navigation for law firm site,Outline
7,Navigation,x,close cancel dismiss remove exit,Phosphor,import { X } from '@phosphor-icons/react',"<X size={20} weight=""regular"" />",Close consultation or intake modal,Outline
8,Navigation,arrow-square-out,open new tab external link,Phosphor,import { ArrowSquareOut } from '@phosphor-icons/react',"<ArrowSquareOut size={20} weight=""regular"" />",Link to court records or external statute,Outline
9,Action,plus,add create new insert,Phosphor,import { Plus } from '@phosphor-icons/react',"<Plus size={20} weight=""regular"" />","Add new case, client or matter",Outline
10,Action,minus,remove subtract decrease delete,Phosphor,import { Minus } from '@phosphor-icons/react',"<Minus size={20} weight=""regular"" />",Remove line item from invoice or filing,Outline
11,Action,trash,delete remove discard bin,Phosphor,import { Trash } from '@phosphor-icons/react',"<Trash size={20} weight=""regular"" />",Delete draft document (with confirmation),Outline
12,Action,pencil-simple,pencil modify change update,Phosphor,import { PencilSimple } from '@phosphor-icons/react',"<PencilSimple size={20} weight=""regular"" />",Edit case notes or client details,Outline
13,Action,floppy-disk,disk store persist save,Phosphor,import { FloppyDisk } from '@phosphor-icons/react',"<FloppyDisk size={20} weight=""regular"" />",Save case file or draft contract,Outline
14,Action,download-simple,export save file download,Phosphor,import { DownloadSimple } from '@phosphor-icons/react',"<DownloadSimple size={20} weight=""regular"" />","Download contract, court filing or invoice PDF",Outline
15,Action,upload-simple,import file attach upload,Phosphor,import { UploadSimple } from '@phosphor-icons/react',"<UploadSimple size={20} weight=""regular"" />","Upload evidence, exhibit or signed document",Outline
16,Action,copy,duplicate clipboard paste,Phosphor,import { Copy } from '@phosphor-icons/react',"<Copy size={20} weight=""regular"" />",Copy case number or legal citation,Outline
17,Action,share,social distribute send,Phosphor,import { Share } from '@phosphor-icons/react',"<Share size={20} weight=""regular"" />",Share case document with co-counsel,Outline
18,Action,magnifying-glass,find lookup search case law clients documents,Phosphor,import { MagnifyingGlass } from '@phosphor-icons/react',"<MagnifyingGlass size={20} weight=""regular"" />","Search case law, clients or documents",Outline
19,Action,funnel,sort refine narrow options,Phosphor,import { Funnel } from '@phosphor-icons/react',"<Funnel size={20} weight=""regular"" />",Filter cases by practice area or status,Outline
20,Action,gear,gear cog preferences config,Phosphor,import { Gear } from '@phosphor-icons/react',"<Gear size={20} weight=""regular"" />",Client portal settings and preferences,Outline
21,Status,check,success done complete verified,Phosphor,import { Check } from '@phosphor-icons/react',"<Check size={20} weight=""regular"" />","Task complete, filing deadline met",Outline
22,Status,check-circle,success verified approved complete,Phosphor,import { CheckCircle } from '@phosphor-icons/react',"<CheckCircle size={20} weight=""regular"" />","Verified filing, approved document",Outline
23,Status,x-circle,error failed cancel rejected,Phosphor,import { XCircle } from '@phosphor-icons/react',"<XCircle size={20} weight=""regular"" />","Rejected filing, failed verification",Outline
24,Status,warning,warning caution attention danger,Phosphor,import { Warning } from '@phosphor-icons/react',"<Warning size={20} weight=""regular"" />","Statute of limitations warning, missing document",Outline
25,Status,warning-circle,info notice information help,Phosphor,import { WarningCircle } from '@phosphor-icons/react',"<WarningCircle size={20} weight=""regular"" />","Case deadline notice, compliance alert",Outline
26,Status,info,information help tooltip details,Phosphor,import { Info } from '@phosphor-icons/react',"<Info size={20} weight=""regular"" />","Legal disclaimer tooltip, case info",Outline
27,Status,circle-notch,loading spinner processing wait,Phosphor,import { CircleNotch } from '@phosphor-icons/react',"<CircleNotch size={20} weight=""regular"" className=""animate-spin"" />",Loading case records,Outline
28,Status,clock,time deadline statute limitations court schedule pending,Phosphor,import { Clock } from '@phosphor-icons/react',"<Clock size={20} weight=""regular"" />","Statute of limitations, court deadline countdown",Outline
29,Communication,envelope,email message inbox letter,Phosphor,import { Envelope } from '@phosphor-icons/react',"<Envelope size={20} weight=""regular"" />","Contact attorney, secure email intake",Outline
30,Communication,chat-circle,chat comment bubble conversation,Phosphor,import { ChatCircle } from '@phosphor-icons/react',"<ChatCircle size={20} weight=""regular"" />","Live consultation chat, client messaging",Outline
31,Communication,phone,call phone attorney hotline contact 24/7 emergency,Phosphor,import { Phone } from '@phosphor-icons/react',"<Phone size={20} weight=""regular"" />",24/7 attorney hotline CTA,Outline
32,Communication,paper-plane-tilt,submit dispatch message airplane,Phosphor,import { PaperPlaneTilt } from '@phosphor-icons/react',"<PaperPlaneTilt size={20} weight=""regular"" />",Submit case evaluation form,Outline
33,Communication,bell,notification alert ring reminder,Phosphor,import { Bell } from '@phosphor-icons/react',"<Bell size={20} weight=""regular"" />",Court date and deadline notifications,Outline
34,User,user,profile account attorney lawyer client portal person,Phosphor,import { User } from '@phosphor-icons/react',"<User size={20} weight=""regular"" />","Attorney profile, client portal account",Outline
35,User,users,team group partners associates legal staff members,Phosphor,import { Users } from '@phosphor-icons/react',"<Users size={20} weight=""regular"" />","Legal team, partners & associates",Outline
36,User,user-plus,add invite new member,Phosphor,import { UserPlus } from '@phosphor-icons/react',"<UserPlus size={20} weight=""regular"" />",Add new client or co-counsel,Outline
37,User,sign-in,signin authenticate enter,Phosphor,import { SignIn } from '@phosphor-icons/react',"<SignIn size={20} weight=""regular"" />",Client portal login,Outline
38,User,sign-out,signout exit leave logout,Phosphor,import { SignOut } from '@phosphor-icons/react',"<SignOut size={20} weight=""regular"" />",Client portal logout,Outline
39,Media,image,photo picture gallery thumbnail,Phosphor,import { Image } from '@phosphor-icons/react',"<Image size={20} weight=""regular"" />","Evidence photo, attorney headshot",Outline
40,Media,video,movie film play record,Phosphor,import { Video } from '@phosphor-icons/react',"<Video size={20} weight=""regular"" />","Deposition video, attorney intro video",Outline
41,Media,play,start video audio media,Phosphor,import { Play } from '@phosphor-icons/react',"<Play size={20} weight=""regular"" />",Play deposition or testimonial video,Outline
42,Media,pause,stop halt video audio,Phosphor,import { Pause } from '@phosphor-icons/react',"<Pause size={20} weight=""regular"" />",Pause deposition recording,Outline
43,Communication,headset,consultation support headset call center attorney hotline,Phosphor,import { Headset } from '@phosphor-icons/react',"<Headset size={20} weight=""regular"" />","Free consultation hotline, client support desk",Outline
44,Media,microphone,microphone record deposition statement voice testimony,Phosphor,import { Microphone } from '@phosphor-icons/react',"<Microphone size={20} weight=""regular"" />",Record deposition or client statement,Outline
45,Legal,bank,courthouse bank building columns institution justice pillars,Phosphor,import { Bank } from '@phosphor-icons/react',"<Bank size={20} weight=""regular"" />","Courthouse, firm building, institutional trust",Outline
46,Legal,scales,justice balance scales fairness law verdict legal equity,Phosphor,import { Scales } from '@phosphor-icons/react',"<Scales size={20} weight=""regular"" />","Justice branding, law firm logo, fairness",Outline
47,Legal,gavel,gavel hammer verdict judge court ruling litigation,Phosphor,import { Gavel } from '@phosphor-icons/react',"<Gavel size={20} weight=""regular"" />","Verdict, court ruling, litigation practice",Outline
48,Commerce,credit-card,payment card retainer invoice legal fees checkout,Phosphor,import { CreditCard } from '@phosphor-icons/react',"<CreditCard size={20} weight=""regular"" />",Pay retainer or legal invoice online,Outline
49,Commerce,currency-dollar,money price currency cost,Phosphor,import { CurrencyDollar } from '@phosphor-icons/react',"<CurrencyDollar size={20} weight=""regular"" />","Legal fees, retainer, settlement amount",Outline
50,Legal,certificate,certificate bar credential license award qualification admission,Phosphor,import { Certificate } from '@phosphor-icons/react',"<Certificate size={20} weight=""regular"" />","Bar credentials, licenses, attorney qualifications",Outline
51,Legal,handshake,handshake settlement agreement deal consultation partnership,Phosphor,import { Handshake } from '@phosphor-icons/react',"<Handshake size={20} weight=""regular"" />","Settlement, consultation, client agreement",Outline
52,Legal,stamp,stamp seal notary approved certified official notarize,Phosphor,import { Stamp } from '@phosphor-icons/react',"<Stamp size={20} weight=""regular"" />","Notary seal, certified document, official approval",Outline
53,Data,chart-bar,analytics statistics graph metrics,Phosphor,import { ChartBar } from '@phosphor-icons/react',"<ChartBar size={20} weight=""regular"" />","Case outcome statistics, firm metrics",Outline
54,Data,chart-pie,statistics distribution breakdown,Phosphor,import { ChartPie } from '@phosphor-icons/react',"<ChartPie size={20} weight=""regular"" />","Case type distribution, practice breakdown",Outline
55,Data,trend-up,growth increase positive trend,Phosphor,import { TrendUp } from '@phosphor-icons/react',"<TrendUp size={20} weight=""regular"" />","Win rate growth, settlement trends",Outline
56,Data,trend-down,decline decrease negative trend,Phosphor,import { TrendDown } from '@phosphor-icons/react',"<TrendDown size={20} weight=""regular"" />",Reduced caseload or risk trend,Outline
57,Data,activity,pulse heartbeat monitor live,Phosphor,import { Activity } from '@phosphor-icons/react',"<Activity size={20} weight=""regular"" />","Case activity timeline, matter status",Outline
58,Data,database,storage database case files client records archive,Phosphor,import { Database } from '@phosphor-icons/react',"<Database size={20} weight=""regular"" />",Case files & client records database,Outline
59,Files,files,documents contracts files case records filings papers,Phosphor,import { Files } from '@phosphor-icons/react',"<Files size={20} weight=""regular"" />","Case documents, contracts, legal filings",Outline
60,Files,file-text,document text legal brief contract court filing,Phosphor,import { FileText } from '@phosphor-icons/react',"<FileText size={20} weight=""regular"" />","Legal brief, contract, court document",Outline
61,Files,folder,directory organize group files,Phosphor,import { Folder } from '@phosphor-icons/react',"<Folder size={20} weight=""regular"" />","Case folder, client matter organization",Outline
62,Files,folder-open,expanded browse files view,Phosphor,import { FolderOpen } from '@phosphor-icons/react',"<FolderOpen size={20} weight=""regular"" />",Browse case documents & exhibits,Outline
