No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Notes
1,Personal Injury Law Firm,#1E3A5F,#FFFFFF,#33506F,#FFFFFF,#A67C00,#FFFFFF,#F7F8FA,#17233A,#FFFFFF,#17233A,#E7ECF3,#5A6B82,#D8E0EA,#B42318,#FFFFFF,#1E3A5F,Navy (#1E3A5F) + Gold (#A67C00) + White — professional legal palette for personal injury law firm.
2,Car Accident Attorney,#1E3A5F,#FFFFFF,#33506F,#FFFFFF,#A67C00,#FFFFFF,#F7F8FA,#17233A,#FFFFFF,#17233A,#E7ECF3,#5A6B82,#D8E0EA,#B42318,#FFFFFF,#1E3A5F,Navy (#1E3A5F) + Gold (#A67C00) + White — professional legal palette for car accident attorney.
3,Truck Accident Attorney,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for truck accident attorney.
4,Motorcycle Accident Attorney,#2A2A2E,#FFFFFF,#45464C,#FFFFFF,#7B1E3B,#FFFFFF,#FAF9F9,#1C1C1F,#FFFFFF,#1C1C1F,#ECEAEB,#5E5A5C,#DED9DB,#B42318,#FFFFFF,#7B1E3B,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white — professional legal palette for motorcycle accident attorney.
5,Medical Malpractice Attorney,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for medical malpractice attorney.
6,Wrongful Death Attorney,#2A2A2E,#FFFFFF,#45464C,#FFFFFF,#7B1E3B,#FFFFFF,#FAF9F9,#1C1C1F,#FFFFFF,#1C1C1F,#ECEAEB,#5E5A5C,#DED9DB,#B42318,#FFFFFF,#7B1E3B,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white — professional legal palette for wrongful death attorney.
7,Workers Compensation Attorney,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for workers compensation attorney.
8,Product Liability Attorney,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for product liability attorney.
9,Mass Tort & Class Action Firm,#1E3A5F,#FFFFFF,#33506F,#FFFFFF,#A67C00,#FFFFFF,#F7F8FA,#17233A,#FFFFFF,#17233A,#E7ECF3,#5A6B82,#D8E0EA,#B42318,#FFFFFF,#1E3A5F,Navy (#1E3A5F) + Gold (#A67C00) + White — professional legal palette for mass tort & class action firm.
10,Criminal Defense Attorney,#2A2A2E,#FFFFFF,#45464C,#FFFFFF,#7B1E3B,#FFFFFF,#FAF9F9,#1C1C1F,#FFFFFF,#1C1C1F,#ECEAEB,#5E5A5C,#DED9DB,#B42318,#FFFFFF,#7B1E3B,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white — professional legal palette for criminal defense attorney.
11,DUI / DWI Defense Attorney,#2A2A2E,#FFFFFF,#45464C,#FFFFFF,#7B1E3B,#FFFFFF,#FAF9F9,#1C1C1F,#FFFFFF,#1C1C1F,#ECEAEB,#5E5A5C,#DED9DB,#B42318,#FFFFFF,#7B1E3B,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white — professional legal palette for dui / dwi defense attorney.
12,White Collar Crime Defense,#1C1C22,#FFFFFF,#3A3A44,#FFFFFF,#8C6A1F,#FFFFFF,#FBFAF7,#17171C,#FFFFFF,#17171C,#ECEAE4,#5C5A54,#DCD8CE,#B42318,#FFFFFF,#8C6A1F,Ink Black (#1C1C22) + Brass (#8C6A1F) + Ivory — professional legal palette for white collar crime defense.
13,Family Law Attorney,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for family law attorney.
14,Divorce Lawyer,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for divorce lawyer.
15,Child Custody Attorney,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for child custody attorney.
16,Immigration Attorney,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for immigration attorney.
17,Deportation & Removal Defense,#1F5F4E,#FFFFFF,#367C68,#FFFFFF,#9A6B08,#FFFFFF,#F6FAF8,#14322A,#FFFFFF,#14322A,#E4EEE9,#53716A,#D3E4DC,#B42318,#FFFFFF,#1F5F4E,Emerald (#1F5F4E) + Gold (#9A6B08) + Soft white — professional legal palette for deportation & removal defense.
18,Estate Planning Attorney,#5C1A2E,#FFFFFF,#7A3141,#FFFFFF,#A67C00,#FFFFFF,#FBF8F4,#2A151A,#FFFFFF,#2A151A,#EEE7E0,#6B5A54,#E0D6CC,#B42318,#FFFFFF,#5C1A2E,Burgundy (#5C1A2E) + Gold (#A67C00) + Cream — professional legal palette for estate planning attorney.
19,Probate & Trust Administration,#5C1A2E,#FFFFFF,#7A3141,#FFFFFF,#A67C00,#FFFFFF,#FBF8F4,#2A151A,#FFFFFF,#2A151A,#EEE7E0,#6B5A54,#E0D6CC,#B42318,#FFFFFF,#5C1A2E,Burgundy (#5C1A2E) + Gold (#A67C00) + Cream — professional legal palette for probate & trust administration.
20,Wills & Trusts Lawyer,#5C1A2E,#FFFFFF,#7A3141,#FFFFFF,#A67C00,#FFFFFF,#FBF8F4,#2A151A,#FFFFFF,#2A151A,#EEE7E0,#6B5A54,#E0D6CC,#B42318,#FFFFFF,#5C1A2E,Burgundy (#5C1A2E) + Gold (#A67C00) + Cream — professional legal palette for wills & trusts lawyer.
21,Elder Law Attorney,#14432A,#FFFFFF,#2E5D42,#FFFFFF,#8A5A1C,#FFFFFF,#F7F9F6,#14251C,#FFFFFF,#14251C,#E6EDE7,#566B5E,#D6E0D6,#B42318,#FFFFFF,#14432A,Deep Forest (#14432A) + Camel (#8A5A1C) + Cream — professional legal palette for elder law attorney.
22,Bankruptcy Attorney,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for bankruptcy attorney.
23,Business & Corporate Law Firm,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for business & corporate law firm.
24,Mergers & Acquisitions Practice,#1C1C22,#FFFFFF,#3A3A44,#FFFFFF,#8C6A1F,#FFFFFF,#FBFAF7,#17171C,#FFFFFF,#17171C,#ECEAE4,#5C5A54,#DCD8CE,#B42318,#FFFFFF,#8C6A1F,Ink Black (#1C1C22) + Brass (#8C6A1F) + Ivory — professional legal palette for mergers & acquisitions practice.
25,Contract Law Attorney,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for contract law attorney.
26,Employment & Labor Law Attorney,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for employment & labor law attorney.
27,Intellectual Property Law Firm,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for intellectual property law firm.
28,Patent Attorney,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for patent attorney.
29,Trademark Attorney,#0F4C5C,#FFFFFF,#2C6E7F,#FFFFFF,#9A5B1E,#FFFFFF,#F6FAFB,#10262C,#FFFFFF,#10262C,#E4EEF0,#52707A,#D2E2E5,#B42318,#FFFFFF,#0F4C5C,Deep Teal (#0F4C5C) + Warm Ochre + White — professional legal palette for trademark attorney.
30,Real Estate Attorney,#14432A,#FFFFFF,#2E5D42,#FFFFFF,#8A5A1C,#FFFFFF,#F7F9F6,#14251C,#FFFFFF,#14251C,#E6EDE7,#566B5E,#D6E0D6,#B42318,#FFFFFF,#14432A,Deep Forest (#14432A) + Camel (#8A5A1C) + Cream — professional legal palette for real estate attorney.
31,Landlord–Tenant Attorney,#334155,#FFFFFF,#475569,#FFFFFF,#9A6A2E,#FFFFFF,#F8FAFC,#1E293B,#FFFFFF,#1E293B,#E9EEF4,#64748B,#E2E8F0,#B42318,#FFFFFF,#334155,Slate (#334155) + Bronze (#9A6A2E) + White — professional legal palette for landlord–tenant attorney.
32,Tax Law Attorney,#1F2937,#FFFFFF,#374151,#FFFFFF,#B45309,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#E8EBEF,#6B7280,#E0E4EA,#B42318,#FFFFFF,#1F2937,Steel (#1F2937) + Amber (#B45309) + Neutral — professional legal palette for tax law attorney.
33,Civil Litigation Firm,#0B1F3A,#FFFFFF,#2C3E5A,#FFFFFF,#4A6FA5,#FFFFFF,#F6F8FB,#101B2D,#FFFFFF,#101B2D,#E6EBF2,#56657D,#D5DEEA,#B42318,#FFFFFF,#0B1F3A,Oxford Blue (#0B1F3A) + Steel Blue + Silver — professional legal palette for civil litigation firm.
