No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
1,Law Firm Homepage,Hero + Practice Areas + Consultation CTA,Trust & Authority + Minimalism,Navy + Gold accent + Neutral white,Professional + Authoritative hierarchy,Subtle hover (200-250ms) + Smooth transitions,"{""if_ux_focused"": ""prioritize-authority"", ""if_multi_practice"": ""add-practice-area-grid""}",Excessive animation + Stock gavel cliches + AI purple/pink gradients,HIGH
2,Solo Practitioner Site,Hero-Centric + Trust,Minimalism + Trust & Authority,Deep navy + Warm gold + Charcoal,Modern + Approachable authority,Scroll-triggered reveals + Attorney portrait focus,"{""if_pre_launch"": ""use-coming-soon-pattern"", ""if_video_ready"": ""add-attorney-intro-video""}",Static design + No credentials + Poor mobile,HIGH
3,Practice Area Page,Feature-Rich Explainer,Minimalism + Trust & Authority,Firm primary navy + Trust blue accent,Clear + Legally credible hierarchy,Section reveals + FAQ accordion (200ms),"{""if_high_stakes"": ""emphasize-outcomes"", ""if_conversion_focused"": ""add-consultation-cta""}",Legal jargon walls + No clear next step,HIGH
4,High-Net-Worth Estate Planning,Feature-Rich Showcase,Liquid Glass + Minimalism,Burgundy + Gold + Ivory,Elegant + Refined authority,Fluid transitions (400-600ms) + Premium reveals,"{""if_wealth_focused"": ""switch-to-refined-luxury"", ""if_hero_needed"": ""use-heritage-imagery""}",Playful colors + Cluttered blocks,HIGH
5,Corporate/Business Law,Feature-Rich Showcase + Trust,Trust & Authority + Minimalism,Professional navy + Neutral grey,Formal + Precise typography,Section transitions + Capability reveals,"{""must_have_a"": ""representative-matters"", ""must_have_b"": ""attorney-credentials""}",Playful design + Hidden bar credentials + AI purple/pink gradients,HIGH
6,Matter Financials Dashboard,Data-Dense Dashboard,Dark Mode (OLED) + Data-Dense,Dark bg + Red/Green status + Trust blue,Clear + Readable typography,Real-time balance animations + Deadline pulse,"{""must_have_a"": ""real-time-updates"", ""must_have_b"": ""high-contrast""}",Light mode only + Slow rendering,HIGH
7,Legal Analytics Dashboard,Data-Dense + Drill-Down,Data-Dense + Heat Map,Cool→Hot case-load gradients + Neutral grey,Clear + Functional typography,Hover tooltips + Chart zoom + Filter animations,"{""must_have"": ""data-export"", ""if_large_docket"": ""virtualize-lists""}",Ornate design + No filtering,HIGH
8,Accessibility for Legal Aid,Accessible & Ethical Layout,Accessible & Ethical + Minimalism,Calm blue + High-contrast text,Readable + Large type (16px+),Clear focus rings (3-4px) + Soft press (150ms),"{""must_have_a"": ""wcag-aaa-compliance"", ""if_low_income_users"": ""plain-language-mode""}",Bright neon colors + Motion-heavy animations + AI purple/pink gradients,HIGH
9,Bar Prep / CLE Platform,Feature-Rich Showcase,Minimalism + Micro-interactions,Scholarly navy + Progress green,Friendly + Studious typography,Soft press (200ms) + Progress reveals,"{""if_gamification"": ""add-progress-animation"", ""if_exam_focused"": ""increase-clarity""}",Dark modes only + Complex jargon,MEDIUM
10,Litigation Boutique,Storytelling-Driven,Trust & Authority + Motion-Driven,Deep burgundy + Charcoal + Gold,Bold + Confident typography,Verdict reveals + Case-story scroll,"{""must_have"": ""case-results"", ""if_boutique"": ""emphasize-trial-record""}",Corporate blandness + Hidden verdicts,HIGH
11,Attorney Bio / Profile,Storytelling-Driven,Minimalism + Trust & Authority,Firm navy + Warm accent,Expressive + Credible typography,Portrait focus + Credential reveals,"{""if_rainmaker"": ""add-media-mentions"", ""if_minimal_bio"": ""reduce-motion""}",Generic headshots + Missing bar admissions,MEDIUM
12,Case Results / Verdicts,Feature-Rich Showcase,Trust & Authority + Data-Dense,Confident navy + Success green + Gold,Bold + Impactful typography,Verdict counter animations + Result cards,"{""if_high_value"": ""add-settlement-figures"", ""if_privacy_bound"": ""anonymize-details""}",Unsubstantiated claims + Missing disclaimers,HIGH
13,Government / Public-Sector Legal,Minimal & Direct,Accessible & Ethical + Minimalism,Professional blue + High contrast,Clear + Large typography,Clear focus rings (3-4px) + Skip links,"{""must_have_a"": ""wcag-aaa"", ""must_have_b"": ""keyboard-navigation""}",Ornate design + Low contrast + AI purple/pink gradients,HIGH
14,Legal-Tech Fintech / Trust Accounting,Trust & Authority,Minimalism + Accessible & Ethical,Navy + Trust Blue + Gold,Professional + Trustworthy,Smooth state transitions + Number animations,"{""must_have"": ""security-first"", ""if_dashboard"": ""use-dark-mode""}",Playful design + Unclear fee handling + AI purple/pink gradients,HIGH
15,Client Intake Wizard,Multi-Step Guided Form,Minimalism + Micro-interactions,Calm navy + Progress green,Clear + Reassuring typography,Step progress bar + Field validation (150ms),"{""if_sensitive_matter"": ""add-privacy-reassurance"", ""if_mobile"": ""optimize-touch-targets""}",Overlong single-page forms + No progress indicator,HIGH
16,Free Case Evaluation Form,Conversion-Optimized Form,Minimalism + Trust & Authority,Trust navy + CTA gold + Neutral,Clear + Confident typography,Inline validation + Submit reassurance,"{""if_conversion_focused"": ""add-confidentiality-note"", ""if_mobile"": ""minimize-fields""}",Too many required fields + No privacy assurance,HIGH
17,Consultation Booking,Interactive Scheduler,Flat Design + Micro-interactions,Trust blue + Available green + Neutral,Clean + Efficient typography,Slot selection (150ms) + Confirmation reveal,"{""must_have"": ""calendar-integration"", ""if_paid_consult"": ""show-fee-clearly""}",Confusing availability + Hidden fees,HIGH
18,Secure Client Portal,Feature-Rich + Documentation,Minimalism + Accessible & Ethical,Trust navy + Secure green accent,Clear + Reassuring typography,Session status + Secure-message reveals,"{""must_have_a"": ""encryption-indicators"", ""must_have_b"": ""two-factor-prompt""}",Weak security cues + No document search,HIGH
19,Legal AI / Research Assistant,Conversational + Minimal,AI-Native UI + Minimalism,Neutral + Trust navy accent,Modern + Clear typography,Streaming text + Citation reveals + Fade-in,"{""must_have_a"": ""source-citations"", ""must_have_b"": ""jurisdiction-awareness""}",Heavy chrome + Uncited answers,HIGH
20,E-Filing / Docketing Platform,Feature-Rich Showcase,Minimalism + Data-Dense,Court navy + Deadline gold + Status colors,Precise + Functional typography,Filing confirmation animations + Status feedback,"{""must_have_a"": ""court-integration"", ""must_have_b"": ""deadline-display""}",Unclear filing status + No confirmation receipt,HIGH
21,Attorney Directory Search,Search + Filter Results,Flat Design + Bento Box Grid,Trust navy + Category accents,Modern + Clear typography,Filter animations + Attorney card reveals,"{""must_have_a"": ""practice-area-filter"", ""must_have_b"": ""verified-credentials""}",Generic listings + Unverified profiles,MEDIUM
22,Immigration Law Firm,Social Proof + Feature-Rich,Accessible & Ethical + Minimalism,Warm trust blue + Hopeful accents,Reassuring + Clear typography,Process-step reveals + Success-story cards,"{""must_have_a"": ""multilingual-support"", ""must_have_b"": ""case-type-navigation""}",Complex jargon + English-only + Hidden fees,HIGH
23,Legal Practice Management SaaS,Feature-Rich + Real-Time,Soft UI Evolution + Minimalism,Calm navy + Neutral grey,Clean + Readable typography,Matter presence indicators + Task badges,"{""must_have_a"": ""matter-status-indicators"", ""must_have_b"": ""calendar-integration""}",Cluttered matter list + No status cues,HIGH
24,Family Law Firm,Empathetic Social Proof,Soft UI Evolution + Accessible & Ethical,Calm navy + Warm neutral + Trust,Compassionate + Readable typography,Soft press + Gentle section reveals,"{""must_have"": ""confidentiality-assurance"", ""if_divorce"": ""add-supportive-tone""}",Cold corporate tone + Aggressive imagery,HIGH
25,Legal Blog / Article,Editorial Long-Form,Swiss Modernism + Minimalism,Editorial navy + Neutral white,Editorial + Readable typography,Article transitions + Category reveals,"{""must_have_a"": ""author-attribution"", ""must_have_b"": ""newsletter-signup""}",Poor readability + No attorney byline,HIGH
26,Bar Credentials / Trust Badges,Trust & Authority + Feature,Minimalism + Flat Design,Trust Blue + Gold accent,Professional + Clear typography,Badge reveal animations + Verification cues,"{""must_have_a"": ""credential-verification"", ""must_have_b"": ""bar-number-display""}",Unverifiable badges + Hidden admissions,MEDIUM
27,Legal Knowledge Base / Help Center,FAQ + Minimal,Minimalism + Accessible & Ethical,Clean navy + Minimal accent,Clear + Readable typography,Search highlight + Smooth scrolling,"{""must_have_a"": ""search-first"", ""must_have_b"": ""topic-categories""}",Poor navigation + No search,HIGH
