No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Window,Use window labels for identification,Give each window a unique label for management,Unique descriptive window labels,Generic labels like window1 window2,WindowBuilder::new(app "settings" url),WindowBuilder::new(app "window1" url),Medium,https://v2.tauri.app/reference/javascript/api/namespacewindow/
2,Window,Configure window properties declaratively,Set window properties in tauri.conf.json,Configure in tauri.conf.json when possible,Dynamic configuration for static properties,"windows: [{""label"": ""main"" ""resizable"": false}]",window.set_resizable(false) in setup,Medium,https://v2.tauri.app/reference/config/
3,Window,Handle window events properly,Listen to window events for proper lifecycle management,Register window event listeners,Ignore window close/focus events,window.listen('tauri://close-requested' handler),No close event handling,High,https://v2.tauri.app/learn/window-customization/
4,Window,Use proper window sizing,Set appropriate window constraints and defaults,Define minWidth maxWidth for user experience,Fixed rigid window sizes without flexibility,"minWidth: 800 maxWidth: 1200",width: 1000 (no constraints),Medium,https://v2.tauri.app/reference/config/
5,Window,Implement proper window restoration,Save and restore window state across sessions,Save window position size state,Lose window state on restart,localStorage window state + restore on startup,No window state persistence,Medium,
6,Tray,Create system tray with proper icons,Use appropriate tray icons with fallbacks,Platform-specific icons with fallbacks,Single icon for all platforms,TrayIconBuilder::new().icon(app.default_window_icon()),Generic icon without platform consideration,Medium,https://v2.tauri.app/learn/system-tray/
7,Tray,Handle tray menu events,Implement proper tray menu click handlers,Handle all menu items with clear actions,Unhandled menu clicks,match event.id() { "quit" => app.exit(0) },Missing match arms for menu items,High,https://v2.tauri.app/learn/system-tray/
8,Tray,Update tray state dynamically,Update tray icon and menu based on app state,Dynamic tray updates for app status,Static tray that never changes,tray_item.set_text(new_status),Static menu items with stale state,Medium,https://v2.tauri.app/learn/system-tray/
9,Tray,Position tray windows correctly,Use positioner plugin for proper tray window placement,Use tauri-plugin-positioner for tray windows,Manual window positioning calculations,on_tray_event with positioner plugin,Manual coordinate calculations,High,https://github.com/tauri-apps/plugins-workspace/tree/v2/plugins/positioner
10,Security,Enable only required permissions,Use granular permissions in capabilities,Minimal required permissions in capabilities,All permissions enabled by default,"permissions: [""core:window:allow-close""]","permissions: [""core:window:all""]",High,https://v2.tauri.app/security/capabilities/
11,Security,Validate command inputs,Always validate and sanitize command inputs,Validate all inputs in Rust commands,Trust frontend inputs without validation,fn cmd(input: String) -> Result<String> if !input.is_empty(),fn cmd(input: String) -> String // no validation,High,https://v2.tauri.app/security/
12,Security,Use CSP headers,Configure Content Security Policy for webview,Strict CSP to prevent XSS attacks,No CSP or permissive CSP,"csp: ""default-src 'self'"" in tauri.conf.json","csp: null or ""default-src *""",High,https://v2.tauri.app/security/
13,Security,Sanitize file paths,Always validate file paths in filesystem operations,Use path canonicalization and validation,Direct path usage from frontend,let path = Path::new(&path).canonicalize()?,std::fs::read(&frontend_path),High,https://v2.tauri.app/plugin/file-system/
14,Security,Avoid exposing sensitive data,Keep secrets and sensitive data in Rust backend,Backend-only sensitive operations,Expose API keys secrets in frontend,Environment variables in Rust backend,API keys hardcoded in JavaScript,High,https://v2.tauri.app/security/
15,IPC,Use structured command interfaces,Define clear TypeScript interfaces for commands,Typed command parameters and returns,Untyped any parameters,interface GreetArgs { name: string } invoke<string>('greet' args),invoke('greet' anyParam),Medium,https://v2.tauri.app/develop/calling-rust/
16,IPC,Handle command errors properly,Return proper Result types from commands,Result<T Error> for error handling,Unwrap or panic in commands,fn cmd() -> Result<String String> Ok(result),fn cmd() -> String result.unwrap(),High,https://v2.tauri.app/develop/calling-rust/
17,IPC,Emit events for async updates,Use event system for long-running operations,Events for progress updates notifications,Blocking commands for async work,app.emit("progress" Progress { percent: 50 }),Long-running synchronous command,Medium,https://v2.tauri.app/develop/calling-rust/
