term,description,examples,implementation,accessibility,trust_factors,category,use_cases,frameworks,reasoning
thinking-bubble,Visual indicator showing AI processing or reasoning state,Typing indicator with "Thinking..." text animated dots,<div class="thinking-indicator"><span class="dots">⚫⚫⚫</span><span class="text">Claude is thinking...</span></div>,"aria-live=""polite"" role=""status""",Processing transparency builds user trust,Thinking Display,Chat interfaces chatbots AI assistants,All frameworks,Users need feedback during AI processing delays to understand system state
streaming-text,Text that appears character by character as AI generates response,Progressive text reveal with cursor animation,<div class="streaming-text" data-stream="true"><span class="content"></span><span class="cursor">|</span></div>,"aria-live=""polite"" for screen readers",Real-time generation demonstrates live AI thinking,Conversation Flow,Real-time chat AI writing assistants,React Vue vanilla JS,Streaming creates engaging user experience and shows AI is actively working
tool-call-display,Visualization of AI function calls and API interactions,Expandable cards showing function name parameters and results,"<div class=""tool-call""><div class=""function"">search_web</div><div class=""args"">{""query"": ""Python tutorials""}</div><div class=""result"">Found 5 results</div></div>",Clear labeling for function names and parameters,Transparency in AI actions builds user confidence,Tool Integration,AI agents function calling workflows,React Vue Svelte,Users need to understand what actions AI is taking on their behalf
confidence-indicator,Visual representation of AI response confidence level,Progress bars color-coded badges percentage displays,<div class="confidence-score"><span class="label">Confidence:</span><span class="bar" style="width: 85%">85%</span></div>,Color contrast WCAG compliance for confidence colors,Confidence scores help users evaluate AI reliability,Trust & Transparency,AI recommendations decision support systems,All frameworks,Users make better decisions when they understand AI confidence levels
citation-bubble,Inline source attribution with expandable details,Clickable superscript numbers with popup source details,"<span class=""citation"" data-source=""1"">[1]<div class=""citation-popup"">Source: Wikipedia - Machine Learning</div></span>",Keyboard navigation for citation popups screen reader support,Source attribution builds credibility and trust,Citation Management,AI research tools content generation fact-checking,All frameworks,Citations allow users to verify AI claims and understand information sources
conversation-memory,Visual indication of conversation context and memory,Context pills showing remembered information from earlier in conversation,"<div class=""memory-context""><span class=""pill"">Remembering: You're working on a React project</span></div>",Clear context labeling for memory indicators,Memory transparency helps users understand AI context,Conversation Flow,Long conversations AI assistants with memory,All frameworks,Users need to understand what context AI remembers for better interaction
retry-mechanism,User interface for retrying failed or unsatisfactory AI responses,Retry button with different generation options,<div class="response-actions"><button class="retry-btn" data-mode="different">Try different approach</button><button class="retry-btn" data-mode="shorter">Make shorter</button></div>,Keyboard accessible retry options clear button labeling,Retry options give users control over AI output quality,Conversation Flow,Chat interfaces AI content generation,All frameworks,Users need ability to get better responses when AI output doesn't meet their needs
thinking-steps,Breakdown of AI reasoning process shown to user,Collapsible section showing step-by-step reasoning,"<details class=""reasoning""><summary>How I reasoned through this</summary><ol><li>First I considered...</li><li>Then I analyzed...</li></ol></details>",Semantic HTML with proper heading structure,Reasoning transparency builds user trust in AI decisions,Thinking Display,AI tutoring decision support complex problem solving,All frameworks,Showing reasoning steps helps users learn and builds confidence in AI responses
error-recovery,Graceful handling and display of AI errors or failures,Error messages with suggested recovery actions,<div class="ai-error"><span class="icon">⚠️</span><span class="message">I encountered an issue. Would you like me to try a different approach?</span><button class="recover-btn">Try again</button></div>,Error messages must be clearly communicated to screen readers,Honest error handling maintains user trust,Trust & Transparency,Production AI applications error-prone AI systems,All frameworks,Users need clear feedback when AI fails and options for recovery
context-switch,Interface for switching between different AI conversation contexts,Tab interface or dropdown for different conversation topics,"<div class=""context-tabs""><button class=""tab active"">Project Help</button><button class=""tab"">Code Review</button><button class=""tab"">Learning</button></div>",Keyboard navigation between contexts clear active state indication,Context organization helps users manage complex AI interactions,Conversation Flow,Multi-purpose AI assistants workspace AI tools,React Vue Angular,Users often need AI help with multiple concurrent topics or projects
