No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
1,Personal Injury Law Firm,"accident, attorney, claim, compensation, counsel, firm, law, lawyer, legal, legal services, negligence, personal injury, victim",Trust & Authority + Motion-Driven,"Conversion-Optimized, Bold Editorial",Funnel (3-Step Conversion),N/A - Lead Generation focused,Navy (#1E3A5F) + Gold (#A67C00) + White,"Credibility + urgency. Lead with case results and settlements, free consultation CTA, 24/7 phone, client testimonials."
2,Car Accident Attorney,"attorney, auto, car accident, collision, counsel, crash, firm, injury, law, lawyer, legal, legal services, mva, whiplash",Trust & Authority + Motion-Driven,"Conversion-Optimized, Bold Editorial",Funnel (3-Step Conversion),N/A - Lead Generation focused,Navy (#1E3A5F) + Gold (#A67C00) + White,"Fast lead capture: sticky call button, free case evaluation form, verdicts/settlements strip, 'no fee unless we win'."
3,Truck Accident Attorney,"18-wheeler, attorney, catastrophic, commercial vehicle, counsel, firm, injury, law, lawyer, legal, legal services, truck accident, trucking",Trust & Authority + Motion-Driven,"Conversion-Optimized, Bold Editorial",Funnel (3-Step Conversion),N/A - Lead Generation focused,Oxford Blue (#0B1F3A) + Steel Blue + Silver,"Emphasize catastrophic-injury experience and trucking regulations. Big settlement numbers, urgent CTA."
4,Motorcycle Accident Attorney,"attorney, bike, counsel, crash, firm, helmet, injury, law, lawyer, legal, legal services, motorcycle accident, rider",Trust & Authority + Motion-Driven,"Conversion-Optimized, Bold Editorial",Funnel (3-Step Conversion),N/A - Lead Generation focused,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white,"Rider-focused imagery, bias-fighting messaging, results-driven proof, quick free consult."
5,Medical Malpractice Attorney,"attorney, counsel, firm, hospital, injury, law, lawyer, legal, legal services, medical malpractice, misdiagnosis, negligence, surgical error",Trust & Authority + Minimalism,"Swiss Modernism 2.0, Accessible & Ethical",Trust & Authority + Conversion,N/A - Marketing focused,Oxford Blue (#0B1F3A) + Steel Blue + Silver,"Sensitive tone + deep expertise. Explain complex process clearly, case results, medical-expert network, confidential intake."
6,Wrongful Death Attorney,"attorney, counsel, estate, fatal, firm, law, lawyer, legal, legal services, loss, negligence, survivor, wrongful death",Trust & Authority + Minimalism,"Swiss Modernism 2.0, Accessible & Ethical",Trust & Authority + Conversion,N/A - Marketing focused,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white,"Compassionate, dignified tone. Clear process, confidential consultation, results without being crass."
7,Workers Compensation Attorney,"attorney, benefits, claim, counsel, firm, injury, law, lawyer, legal, legal services, workers comp, workers compensation, workplace",Trust & Authority + Motion-Driven,"Conversion-Optimized, Bold Editorial",Funnel (3-Step Conversion),N/A - Lead Generation focused,Slate (#334155) + Bronze (#9A6A2E) + White,"Explain benefits and denied-claim appeals. Plain-language steps, free consult, bilingual option."
8,Product Liability Attorney,"attorney, class, counsel, defective, firm, injury, law, lawyer, legal, legal services, manufacturer, product liability, recall",Trust & Authority + Minimalism,"Swiss Modernism 2.0, Accessible & Ethical",Trust & Authority + Conversion,N/A - Marketing focused,Oxford Blue (#0B1F3A) + Steel Blue + Silver,"Show mass-tort/product experience, active investigations list, eligibility checker, secure intake."
9,Mass Tort & Class Action Firm,"attorney, class action, counsel, firm, law, lawyer, legal, legal services, litigation, mass tort, mdl, plaintiffs, settlement",Trust & Authority + Minimalism,"Swiss Modernism 2.0, Accessible & Ethical",Trust & Authority + Conversion,N/A - Marketing focused,Navy (#1E3A5F) + Gold (#A67C00) + White; Litigation Intake Dashboard,"Active-case landing pages per litigation, eligibility quiz, national footprint, results, secure sign-up."
10,Criminal Defense Attorney,"arrest, attorney, charges, counsel, court, criminal defense, defense, felony, firm, law, lawyer, legal, legal services, misdemeanor",Trust & Authority + Motion-Driven,"Conversion-Optimized, Bold Editorial",Funnel (3-Step Conversion),N/A - Lead Generation focused,Charcoal (#2A2A2E) + Burgundy (#7B1E3B) + Warm white,"Reassurance + urgency. 24/7 availability, confidentiality, case dismissals/acquittals, aggressive-defense positioning."
