No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,Classic Elegant,Serif + Sans,Playfair Display,Inter,"elegant, authoritative, timeless, prestigious, refined, legal","Estate planning & private-client firms, boutique & premium law firms, appellate practice, high-end legal brands",https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|Playfair+Display:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Playfair+Display:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Playfair Display', 'serif'], sans: ['Inter', 'sans-serif'] }",High contrast between elegant heading and clean body. Perfect for luxury/premium.
2,Modern Professional,Sans + Sans,Poppins,Open Sans,"modern, professional, clean, trustworthy, approachable, legal","General-practice firms, business & corporate law, legal-tech SaaS marketing, virtual law firms",https://fonts.google.com/share?selection.family=Open+Sans:wght@300;400;500;600;700|Poppins:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;500;600;700&family=Poppins:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Poppins', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Geometric Poppins for headings, humanist Open Sans for readability."
3,Tech Startup,Sans + Sans,Space Grotesk,DM Sans,"modern, technical, innovative, legal-tech, saas, precise","Legal AI platforms, e-discovery & legal-research startups, modern legal-tech products",https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700|Space+Grotesk:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }","Space Grotesk has unique character, DM Sans is highly readable."
4,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,"editorial, scholarly, authoritative, literary, refined, legal","Law-firm insights hubs, legal publications & law reviews, appellate/BigLaw thought leadership",https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Libre+Baskerville:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Libre+Baskerville:wght@400;700&display=swap');,"fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Libre Baskerville', 'serif'] }",All-serif pairing for traditional editorial feel.
5,Minimal Swiss,Sans + Sans,Inter,Inter,"minimal, functional, neutral, precise, professional, legal-tech","Legal-tech dashboards, case-management UIs, admin panels, legal design systems, documentation",https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }",Single font family with weight variations. Ultimate simplicity.
6,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,"bold, urgent, impactful, conversion, headline, injury","Personal-injury & criminal-defense lead-gen heroes and campaign pages (large headlines only, use sparingly)",https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');,"fontFamily: { display: ['Bebas Neue', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Bebas Neue for large headlines only. All-caps display font.
7,Wellness Calm,Serif + Sans,Lora,Raleway,"calm, approachable, warm, reassuring, humane, family","Family law, divorce & child custody, mediation & ADR, elder law — warm but credible tone",https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Raleway:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Raleway:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Lora', 'serif'], sans: ['Raleway', 'sans-serif'] }",Lora's organic curves with Raleway's elegant simplicity.
8,Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,"technical, precise, developer, integration, api, legal-tech","Legal-tech developer docs, e-filing/API integrations, court-data tooling, technical legal content",https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');,"fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] }","JetBrains for code, IBM Plex for UI. Developer-focused."
9,Geometric Modern,Sans + Sans,Outfit,Work Sans,"modern, geometric, versatile, professional, contemporary, legal-tech","Modern law firms, virtual law firms, legal-tech landing pages, general legal marketing",https://fonts.google.com/share?selection.family=Outfit:wght@300;400;500;600;700|Work+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@300;400;500;600;700&family=Work+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }",Both geometric but Outfit more distinctive for headings.
10,Luxury Serif,Serif + Sans,Cormorant,Montserrat,"luxury, refined, premium, sophisticated, private-client, legal","Premium boutique firms, private-client & estate practices, M&A and high-end corporate law",https://fonts.google.com/share?selection.family=Cormorant:wght@400;500;600;700|Montserrat:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Cormorant:wght@400;500;600;700&family=Montserrat:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Cormorant', 'serif'], sans: ['Montserrat', 'sans-serif'] }",Cormorant's elegance with Montserrat's geometric precision.
11,Friendly SaaS,Sans + Sans,Plus Jakarta Sans,Plus Jakarta Sans,"friendly, modern, saas, clean, professional, legal-tech","Legal-tech SaaS products, client portals, practice-management apps, virtual law firms",https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",Single versatile font. Modern alternative to Inter.
12,News Editorial,Serif + Sans,Newsreader,Roboto,"editorial, trustworthy, readable, journalistic, analytical, legal","Legal blogs & firm insights, legal news/analysis, publications, content-heavy legal sites",https://fonts.google.com/share?selection.family=Newsreader:wght@400;500;600;700|Roboto:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Newsreader:wght@400;500;600;700&family=Roboto:wght@300;400;500;700&display=swap');,"fontFamily: { serif: ['Newsreader', 'serif'], sans: ['Roboto', 'sans-serif'] }",Newsreader designed for long-form reading. Roboto for UI.
13,Corporate Trust,Sans + Sans,Lexend,Source Sans 3,"trustworthy, accessible, readable, professional, inclusive, legal","Government legal & public defender sites, legal aid, insurance-defense firms, accessibility-critical legal pages",https://fonts.google.com/share?selection.family=Lexend:wght@300;400;500;600;700|Source+Sans+3:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lexend:wght@300;400;500;600;700&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Lexend', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Lexend designed for readability. Excellent accessibility.
14,Premium Sans,Sans + Sans,Satoshi,General Sans,"premium, modern, sophisticated, versatile, professional, legal-tech","Premium modern firms, legal-tech startups, boutique corporate & IP practices",https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700,@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&display=swap');,"fontFamily: { sans: ['DM Sans', 'sans-serif'] }",Note: Satoshi/General Sans on Fontshare. DM Sans as Google alternative.
15,Vietnamese Friendly,Sans + Sans,Be Vietnam Pro,Noto Sans,"multilingual, readable, accessible, bilingual, immigration, legal","Bilingual immigration & legal-aid sites, Vietnamese-speaking clients, multilingual legal services",https://fonts.google.com/share?selection.family=Be+Vietnam+Pro:wght@300;400;500;600;700|Noto+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Be+Vietnam+Pro:wght@300;400;500;600;700&family=Noto+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Be Vietnam Pro', 'Noto Sans', 'sans-serif'] }",Be Vietnam Pro excellent Vietnamese support. Noto as fallback.
16,Japanese Elegant,Serif + Sans,Noto Serif JP,Noto Sans JP,"multilingual, japanese, international, readable, immigration, legal","Japanese-language legal services, international/immigration practices, cross-border corporate law",https://fonts.google.com/share?selection.family=Noto+Sans+JP:wght@300;400;500;700|Noto+Serif+JP:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+JP:wght@300;400;500;700&family=Noto+Serif+JP:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Noto Serif JP', 'serif'], sans: ['Noto Sans JP', 'sans-serif'] }",Noto fonts excellent Japanese support. Traditional + modern feel.
