No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Async Waterfall,Defer Await,async await defer branch,React/Next.js,Move await into branches where actually used to avoid blocking unused case-loading paths,Move await operations into branches where they're needed,Await at top of function blocking all branches,if (skip) return { skipped: true }; const matter = await fetchMatter(),const matter = await fetchMatter(); if (skip) return { skipped: true },Critical
2,Async Waterfall,Promise.all Parallel,promise all parallel concurrent,React/Next.js,Fetch independent client and matter data concurrently using Promise.all(),Use Promise.all() for independent operations,Sequential await for independent operations,"const [client, matters] = await Promise.all([fetchClient(), fetchMatters()])",const client = await fetchClient(); const matters = await fetchMatters(),Critical
3,Async Waterfall,Dependency Parallelization,better-all dependency parallel,React/Next.js,Use better-all for case data with partial dependencies to maximize parallelism,Use better-all to start each task at earliest possible moment,Wait for unrelated data before starting dependent fetch,"await all({ client() {}, config() {}, matters() { return fetch((await this.$.client).id) } })","const [client, config] = await Promise.all([...]); const matters = await fetchMatters(client.id)",Critical
4,Async Waterfall,API Route Optimization,api route waterfall promise,React/Next.js,In case-management API routes start independent operations immediately even if not awaited yet,Start promises early and await late,Sequential awaits in API handlers,const sessionP = auth(); const firmP = fetchFirm(); const session = await sessionP,const session = await auth(); const firm = await fetchFirm(),Critical
5,Async Waterfall,Suspense Boundaries,suspense streaming boundary,React/Next.js,Use Suspense to show the case-dashboard shell faster while data loads,Wrap async components in Suspense boundaries,Await data blocking entire page render,<Suspense fallback={<Skeleton />}><CaseList /></Suspense>,const cases = await fetchCases(); return <CaseList data={cases} />,High
6,Bundle Size,Barrel Imports,barrel import direct path,React/Next.js,Import directly from source files to avoid loading unused modules in the portal,Import directly from source path,Import from barrel/index files,import Check from 'lucide-react/dist/esm/icons/check',import { Check } from 'lucide-react',Critical
7,Bundle Size,Dynamic Imports,dynamic import lazy next,React/Next.js,Use next/dynamic to lazy-load the heavy document viewer not needed on initial render,Use dynamic() for heavy components,Import heavy components at top level,"const DocViewer = dynamic(() => import('./doc-viewer'), { ssr: false })",import { DocViewer } from './doc-viewer',Critical
8,Bundle Size,Defer Third Party,analytics defer third-party,React/Next.js,Load analytics and logging after hydration since they don't block portal interaction,Load non-critical scripts after hydration,Include analytics in main bundle,"const Analytics = dynamic(() => import('@vercel/analytics'), { ssr: false })",import { Analytics } from '@vercel/analytics/react',Medium
9,Bundle Size,Conditional Loading,conditional module lazy,React/Next.js,Load the large e-filing module only when a client starts a filing,Dynamic import when feature enabled,Import large modules unconditionally,"useEffect(() => { if (enabled) import('./efiling.js') }, [enabled])",import { efilingData } from './efiling.js',High
10,Bundle Size,Preload Intent,preload hover focus intent,React/Next.js,Preload the document viewer on hover before the attorney opens a file,Preload on user intent signals,Load only on click,onMouseEnter={() => import('./doc-viewer')},onClick={() => import('./doc-viewer')},Medium
11,Server,React.cache Dedup,react cache deduplicate request,React/Next.js,Use React.cache() to dedupe client lookups within a single request,Wrap data fetchers with cache(),Fetch same data multiple times in tree,export const getClient = cache(async () => await db.client.find()),export async function getClient() { return await db.client.find() },Medium
12,Server,LRU Cache Cross-Request,lru cache cross request,React/Next.js,Use LRU cache for practice-area data shared across sequential requests,Use LRU for cross-request caching,Refetch same data on every request,"const cache = new LRUCache({ max: 1000, ttl: 5*60*1000 })",Always fetch from database,High
13,Server,Minimize Serialization,serialization rsc boundary,React/Next.js,Only pass client fields actually used across RSC boundaries (avoid leaking privileged data),Pass only needed fields to client components,Pass entire objects to client,<ClientCard name={client.name} />,<ClientCard client={client} /> // 50 fields serialized,High
14,Server,Parallel Fetching,parallel fetch component composition,React/Next.js,Restructure the case dashboard to parallelize data fetching in RSC,Use component composition for parallel fetches,Sequential fetches in parent component,<CaseHeader /><MatterSidebar /> // both fetch in parallel,const header = await fetchHeader(); return <><div>{header}</div><MatterSidebar /></>,Critical
