No,Data Type,Keywords,Best Chart Type,Secondary Options,When to Use,When NOT to Use,Data Volume Threshold,Color Guidance,Accessibility Grade,Accessibility Notes,A11y Fallback,Library Recommendation,Interactive Level
1,Billable Hours Over Time,"billable hours, timekeeping, trend, time-series, utilization trend, revenue trend, monthly billings",Line Chart,"Area Chart, Smooth Area",Tracking billable hours or collections across weeks/months; partner needs to observe rise/fall in timekeeping or revenue over a continuous fiscal period,Fewer than 4 reporting periods (use stat card); more than 6 attorneys/practice areas plotted at once (visual noise); no time dimension exists,<1000 pts: SVG; ≥1000 pts: Canvas + downsampling; >10000: aggregate to intervals,Primary: #0080FF. Multiple series: distinct colors + distinct line styles. Fill: 20% opacity,AA,Differentiate series by line style (solid/dashed/dotted) not color alone. Add pattern overlays for colorblind users.,Dashed/dotted lines per series; togglable data table with timestamps and values,"Chart.js, Recharts, ApexCharts",Hover + Zoom
2,Caseload by Attorney,"caseload, attorney comparison, matters per attorney, revenue by practice area, ranking, workload",Bar Chart (Horizontal or Vertical),"Column Chart, Grouped Bar",Comparing attorneys by open matters or revenue by practice area; ranking timekeepers or practice groups is the core insight; categories <= 15,More than 15 attorneys/practice areas (use table or search); data has a time dimension (use line); showing fee mix proportions (use waffle/stacked),<20 categories: vertical bar; 20–50: horizontal bar; >50: paginated table,Each bar: distinct color. Grouped: same hue family. Always sort descending by value,AAA,Value labels on each bar by default. Sort control for user reordering.,Value labels always visible; provide CSV export,"Chart.js, Recharts, D3.js",Hover + Sort
3,Matter Status Distribution,"matter status, part-to-whole, case stage mix, open closed pending, proportion, share",Pie Chart or Donut,"Stacked Bar, Waffle Chart",<=5 matter statuses (open/pending/settled/closed); one dominant status vs the rest; emphasis on visual proportion of the caseload over exact counts,More than 5 statuses; status shares differ by <5% (visually indistinguishable); user needs precise matter counts; accessibility-first context,Max 6 slices; beyond that switch to stacked bar 100%,5–6 max colors. Contrasting palette. Largest slice at 12 o'clock. Always label slices with %,C,Pie charts fail WCAG for colorblind users. Slices rely on color alone. Avoid as primary chart in a11y contexts.,Must provide stacked bar alternative + percentage data table as mandatory fallback,"Chart.js, Recharts, D3.js",Hover + Drill
4,Settlement Amount vs Time-to-Resolution,"settlement correlation, time-to-resolution, case duration, distribution, outlier matters, relationship",Scatter Plot or Bubble Chart,"Heat Map, Matrix","Exploring the relationship between two continuous case variables (e.g., settlement amount vs days-to-close); identifying outlier matters or clusters by practice area",Variables are categorical like matter type (use grouped bar); fewer than 20 matters (patterns aren't meaningful); mobile-primary context,<500 pts: SVG; 500–5000: Canvas at 0.6–0.8 opacity; >5000: hexbin or aggregate first,Color axis: gradient (blue → red). Bubble size: relative to 3rd variable. Opacity: 0.6–0.8 to show density,B,Provide data table alternative. Combine color + shape distinction for colorblind users.,Data table with correlation coefficient annotation; shape markers (circle/square/triangle) per group,"D3.js, Plotly, Recharts",Hover + Brush
5,Compliance / Docket Intensity,"compliance heatmap, docket activity, deadline density, matrix, filings by day, calendar",Heat Map or Choropleth,"Grid Heat Map, Bubble Heat","Showing compliance status or filing intensity across a 2D grid; deadline/docket patterns (e.g., filings by hour x day, or compliance status by entity x requirement)",Fewer than 20 cells (use bar); user needs to read exact filing counts; colorblind users without pattern fallback,"Up to 10,000 cells efficiently; beyond that aggregate; calendar heatmap: 365 cells max per SVG",Gradient: Cool (blue) to Hot (red). Divergent scale for ±data. Always include numeric color legend,B,Pattern overlay for colorblind users. Numerical value on hover. Legend must include scale ticks.,Numerical overlay on hover; downloadable grid table with row/column labels,"D3.js, Plotly, ApexCharts",Hover + Zoom
6,Court Filings by Jurisdiction,"jurisdiction, court filings, geographic, region, venue, spatial, choropleth",Choropleth Map or Bubble Map,Geographic Heat Map,Filing counts or matter volume have a jurisdictional/venue dimension; spatial distribution of cases across states or districts is the core insight,Jurisdictions have very different sizes making visual comparison misleading (use bar); mobile-primary context,<1000 regions: SVG; ≥1000: Canvas/WebGL (Deck.gl); global maps: tile-based rendering,Single color gradient per region group. Categorized colors for discrete types. Legend with clear scale breaks,B,Include text labels for major regions. Provide keyboard navigation between regions.,Region text labels; sortable data table by region name and value; keyboard-navigable regions,"D3.js, Mapbox, Leaflet",Pan + Zoom + Drill
7,Client Intake Funnel,"client intake, conversion, lead funnel, drop-off, retention pipeline, stages",Funnel Chart or Sankey,Waterfall (for flows),Sequential intake process (inquiry -> consult -> engagement letter -> retained); showing conversion or drop-off between defined intake stages,Stages aren't sequential; values don't decrease monotonically (use bar); fewer than 3 intake stages,3–8 stages optimal; beyond 8 stages group minor steps into 'Other',Stages: single color gradient (start → end). Show conversion % between each stage. Highlight biggest drop,AA,Explicit conversion % as text per stage. Stage labels always visible. Linear list view as fallback.,Provide linear list view with stage name + count + drop-off %; keyboard traversal,"D3.js, Recharts, Custom SVG",Hover + Drill
8,Hours Budget vs Actual,"budget vs actual, realization, matter budget, kpi, target hours, threshold, utilization",Gauge Chart or Bullet Chart,"Dial, Thermometer","Single matter KPI (e.g., hours logged vs budgeted, or realization rate) measured against a defined target; practice dashboard summary context",No budget or benchmark exists; comparing multiple matter KPIs at once (use bullet chart grid),Single metric per gauge; for 3+ KPIs use bullet chart grid layout,Performance: Red → Yellow → Green gradient. Target: marker line. Threshold zones clearly differentiated,AA,Always show numerical value + % of target as text beside chart. Never rely on color position alone.,Numerical value + % of target shown as visible text; ARIA live region for real-time updates,"D3.js, ApexCharts, Custom SVG",Hover
9,Collections / Revenue Forecast,"collections forecast, revenue projection, confidence, band, billings estimate, prediction",Line with Confidence Band,Ribbon Chart,Historical billings + projected collections; communicating revenue uncertainty range to partners or firm management,No historical billings baseline; forecast confidence is too low to be useful; audience is not data-literate,Keep historical window to 30–90 days for readability; forecast horizon ≤ 30% of visible x-axis range,Actual: solid line #0080FF. Forecast: dashed #FF9500. Confidence band: 15% opacity fill same hue,AA,Toggle between actual-only and forecast views. Legend must distinguish lines beyond color (solid vs dashed).,Toggle actual/forecast independently; legend labels must include line-style description,"Chart.js, ApexCharts, Plotly",Hover + Toggle
10,Trust Accounting Anomaly Detection,"trust account, anomaly, outlier, IOLTA, balance deviation, monitoring, alert",Line Chart with Highlights,Scatter with Alert,Monitoring a trust-accounting or disbursement time-series for outliers; alerting staff to unexpected balance spikes or dips in client funds,Anomalies are predefined categories (use bar with highlight); real-time context without a pause control,"Stream at ≤60fps with Canvas; batch: up to 10,000 pts; mark anomalies as a separate data layer",Normal: #0080FF solid line. Anomaly marker: #FF0000 circle + filled. Alert band: #FFF3CD background zone,AA,Use shape marker (not color only) for anomaly points. Add text annotation per anomaly event.,Text alert annotation per anomaly; anomaly summary list panel alongside chart,"D3.js, Plotly, ApexCharts",Hover + Alert
