No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
1,Trust & Authority + Conversion,"trust, authority, law firm homepage, credibility, conversion, firm, attorney","1. Hero (firm promise + attorney/office imagery), 2. Trust bar (bar credentials, years, awards, ratings), 3. Practice areas grid, 4. Case results/testimonials, 5. Attorney intro, 6. Consultation CTA + contact",Hero (primary) + sticky 'Free Consultation' nav button + footer contact,"Navy/charcoal authority + gold/burgundy accent for CTA only. High contrast, restrained palette.","Subtle hero fade-in, credential logo strip, card hover lift, sticky call button","Lead with credibility (bar admissions, Super Lawyers/Avvo, results). One primary CTA (free consultation). Click-to-call prominent on mobile."
2,Funnel (3-Step Conversion),"funnel, free case evaluation, intake, injury, criminal, steps, conversion, no fee","1. Hero (bold benefit + 'No fee unless we win'), 2. Step 1: What happened (case type), 3. Step 2: Your details, 4. Step 3: Contact + submit, 5. Reassurance (confidential, 24/7, results)",Multi-step form as the hero + sticky call button,Urgent but trustworthy: navy base + high-contrast accent CTA. Progress bar in brand color.,"Step progress animation, inline validation, reassurance micro-copy, success confirmation","Short multi-step intake outperforms one long form. Show 'no fee unless we win', 24/7 availability, confidentiality. Sticky click-to-call for arrest/accident context."
3,Free Case Evaluation Landing,"free case evaluation, ppc, single practice, injury, claim, lead capture, landing","1. Hero (specific injury/claim + form above fold), 2. Why choose us (results, experience), 3. How the process works (3-4 steps), 4. Results/testimonials, 5. Final form + call",Form above the fold (right/hero) + repeated at bottom + sticky call,Focused single-message palette. Accent CTA at 7:1 contrast. Minimal nav to reduce exits.,"Form focus states, trust-badge fade-in, results counter, minimal chrome",One practice area per page (matches PPC ad). Remove nav distractions. Form ≤ 4 fields. Prominent phone + 'available 24/7'.
4,Practice Areas Showcase,"practice areas, services, feature-rich showcase, grid, firm, multi-practice","1. Hero (firm overview), 2. Practice-area cards (icon + name + blurb), 3. Featured practice deep-dive, 4. Attorney/experience proof, 5. Consultation CTA",Card CTAs into each practice page + sticky consultation button,"Neutral authority base, one accent for CTAs. Each card icon in muted brand tone.","Card hover lift, icon micro-interactions, scroll reveal","Scannable practice grid links to dedicated pages (SEO + intent match). One clear CTA per card. Keep blurbs benefit-led, not jargon."
5,Attorney Bio + Consultation,"attorney bio, lawyer profile, about, credentials, consultation, booking, trust","1. Attorney hero (photo + name + focus), 2. Credentials & bar admissions, 3. Notable results & representative matters, 4. Approach/values, 5. Book a consultation",Book-consultation CTA in hero + end of bio,"Portrait-forward, warm-professional. Accent used only for the booking CTA.","Portrait parallax, credential list reveal, testimonial quote fade","Humanize the attorney (photo, story, values) alongside hard credentials. Direct booking/contact. Bar-number and disclaimers for compliance."
6,Case Results / Verdicts,"case results, verdicts, settlements, wins, proof, social proof, results","1. Hero (headline stat, e.g. total recovered), 2. Results grid (amount + case type + short summary), 3. Client testimonials, 4. Disclaimer, 5. Consultation CTA",Consultation CTA after results + sticky call,"Confident authority palette; success accent for amounts. Keep tasteful, not garish.","Result counters/odometer, filter by practice area, testimonial carousel",Concrete numbers build trust (with required 'past results don't guarantee' disclaimer). Let clients filter by case type. Pair figures with human testimonials.
7,Feature-Rich Showcase + Conversion,"legal saas, features, product, showcase, demo, conversion, legal-tech","1. Hero (product value prop + demo/screenshot), 2. Feature grid (4-6), 3. Integrations & security, 4. Testimonials/firm logos, 5. Pricing teaser + demo CTA",Book-a-demo / Start-free-trial in nav + after features + bottom,Clean SaaS palette (trust blue/teal) + accent CTA. Security badges neutral.,"Feature card hover, product screenshot reveal, integration logo strip","Legal-tech buyers need trust: show security/compliance (SOC 2, encryption), integrations, and firm testimonials. Clear demo/trial CTA. ROI framing (hours saved)."
8,Comparison Table + CTA,"comparison, versus, legal saas, table, switch, migration, cta","1. Hero (problem/switch message), 2. Comparison matrix (you vs incumbents), 3. Feature deep-dive, 4. Migration/onboarding, 5. Demo CTA",Highlighted 'you' column CTA + bottom demo CTA,Your column highlighted (accent bg). Competitors neutral. Checkmarks in success tone.,"Row hover highlight, sticky comparison header, checkmark animations",Show differentiation vs legacy legal software honestly. Highlight your column. Address migration fears. Include security/compliance row.
9,Enterprise Gateway,"enterprise, biglaw, global firm, corporate, gateway, practice groups, contact","1. Hero (mission/video), 2. By practice group, 3. By industry, 4. By region/office, 5. Insights & client logos, 6. Contact / careers",Contact (primary) + client login (secondary) + mega-menu,"Conservative corporate: navy/oxford + silver. Restrained, high-integrity accents.","Slow hero video, logo carousel, mega-menu tabs, insights feed",Path selection ('I need... / I am...'). Mega-menu navigation for depth. Insights hub for SEO/authority. Careers and client login prominent.
10,Storytelling-Driven + Trust,"storytelling, mission, legal aid, nonprofit, civil rights, access to justice, impact","1. Hero (human story/mission), 2. Who we help + eligibility, 3. How we help (services), 4. Impact/testimonials, 5. Get help + donate/volunteer CTA",'Get help' primary + 'Donate/Volunteer' secondary,"Warm, humane palette (emerald/gold). Accessible high-contrast text. Empathetic imagery.","Story scroll reveals, impact counters, gentle transitions","Lead with human impact and clear eligibility. Accessibility mandatory (WCAG AA+, plain language, multilingual). Separate 'get help' from 'support us' paths."
11,Marketplace / Directory,"marketplace, attorney directory, find a lawyer, search, listings, referral","1. Hero (search: practice area + location), 2. Popular categories, 3. Featured/verified attorneys, 4. Trust & safety (verification, reviews), 5. Dual CTA (find a lawyer / list your practice)",Hero search bar (primary) + nav 'List your practice',Search high-contrast. Category icons. Verified badges in trust tone.,"Search autocomplete, map pins hover, listing card carousel",The search bar IS the CTA. Reduce friction to search; suggest popular practice areas/cities. Verified badges + reviews build trust. Two-sided sign-up.
12,Newsletter / Content First,"newsletter, legal blog, content, insights, subscribe, publication, thought leadership","1. Hero (value prop + email form), 2. Recent articles/issues, 3. Topic categories, 4. Author credentials, 5. Subscribe CTA",Inline email form (hero) + sticky header subscribe,"Editorial paper-like background, ink text, single accent. Readability first.","Text highlight, subtle fade-in, related-article hover",Single-field subscribe (email only). Show subscriber count / notable readers. Establish author/attorney authority. Not legal advice disclaimer in footer.
