No,Pattern_Name,Category,Description,Visual_Design,Interaction_Behavior,Code_Example_Good,Code_Example_Bad,UX_Principle,Technical_Implementation,Accessibility_Notes,Use_Cases,Anti_Patterns,Severity
1,Streaming Token Display,Real-time Response,Display AI response text as it's generated token by token to show system activity,Typewriter effect with cursor,"Text appears progressively 20-50ms per token","<div class='streaming-text'><span class='token animate-in'>Hello</span><span class='cursor'>|</span></div>","<div>Loading...</div> // Shows spinner until complete","Show immediate feedback and system status","WebSocket/SSE for real-time updates animation states","Ensure screen readers announce streaming content incrementally","Chat responses code generation writing assistance","Complete response after long delay static loading spinners",HIGH
2,Thinking Process Visualization,Progressive Disclosure,Show AI reasoning steps and thought process before final answer,Collapsible sections with step indicators,"Expandable reasoning chain auto-collapse after completion","<Reasoning><ReasoningTrigger /><ReasoningContent>{steps}</ReasoningContent></Reasoning>","<div>AI is thinking...</div> // No visibility into process","Transparency builds trust through explainability","Chain of thought prompting step tracking state","Provide summary for screen readers keyboard navigation","Complex reasoning problem solving analysis tasks","Black box responses hidden decision making",HIGH
3,Confidence Indicator Bars,Trust Calibration,Visual bars or percentage showing AI confidence in responses,Progress bars with color coding (red-yellow-green),"Hover for confidence breakdown click for methodology","<div class='confidence-bar'><div class='fill' style='width: 85%'>85% confident</div></div>","No confidence indication shown to users","Help users calibrate appropriate trust levels","Model uncertainty quantification confidence scoring","Color-blind safe indicators alt text for confidence levels","Medical diagnosis legal advice financial recommendations","Equal confidence for all responses hidden uncertainty",HIGH
4,Tool Execution Timeline,Real-time Monitoring,Show which tools AI is calling and their execution status,Timeline with tool icons and status badges,"Real-time status updates expandable execution details","<div class='tool-timeline'><div class='tool active'>🔍 Searching...</div></div>","<div>Processing request...</div> // No tool visibility","Transparency in AI decision making process","Tool orchestration tracking status management","Announce tool changes to screen readers","Multi-tool workflows complex data retrieval","Hidden tool usage unclear system state",HIGH
5,Citation Source Cards,Source Attribution,Display clickable source cards with previews and attribution,Cards with favicon title snippet and trust indicators,"Hover preview click to open source trust ratings","<div class='citation-card'><img src='favicon'/><h4>Source Title</h4><p>Snippet...</p></div>","<sup>[1]</sup> // Basic footnote only","Transparency and verifiability of information","Source extraction metadata collection trust scoring","Keyboard navigation screen reader support for citations","Research assistance fact-checking journalism","Vague source references unverifiable claims",HIGH
6,Alternative Response Branches,Conversation Branching,Show multiple AI response options or explore alternative conversation paths,Branching tree visualization with selectable paths,"Click to explore alternative return to main thread","<div class='response-branches'><button class='branch'>Alternative 1</button></div>","Single response only with regenerate button","Give users control over conversation direction","Response generation variants conversation state trees","Clear navigation between branches breadcrumbs","Creative writing problem exploration decision making","Linear conversation only no exploration options",MEDIUM
7,Uncertainty Visualization,Risk Communication,Use visual elements to show AI uncertainty and limitations,Dotted borders question marks warning icons,"Hover for uncertainty explanation contextual warnings","<div class='uncertain'><span class='content'>Possibly...</span><Icon name='question'/></div>","Present uncertain information as facts","Honest communication of system limitations","Confidence intervals uncertainty quantification","Clear uncertainty indicators for accessibility","Predictions recommendations unverified information","Overconfident assertions hidden limitations",HIGH
8,Progressive Context Display,Context Awareness,Show what context AI is using and how it builds over conversation,Context panel with conversation history and relevance scores,"Expandable context view relevance highlighting","<div class='context-panel'><div class='context-item relevant'>Previous: ...</div></div>","No indication of what context is being used","Transparency in how AI maintains conversation state","Context window management relevance scoring","Screen reader navigation through context items","Long conversations document analysis support chats","Context-unaware responses no memory indication",MEDIUM
9,Error Recovery Suggestions,Graceful Failure,Provide specific suggestions when AI fails or produces poor output,Error cards with actionable recovery steps,"Retry with modifications escalate to human","<div class='error-card'><h4>Let's try differently</h4><button>Rephrase question</button></div>","<div>Error occurred. Try again.</div> // Generic message","Help users recover from failures gracefully","Error classification recovery suggestion engine","Clear error explanations keyboard accessible actions","Complex queries technical support troubleshooting","Generic error messages dead ends",HIGH
10,Feedback Collection Interface,Continuous Learning,Collect user feedback on AI responses with specific improvement areas,Thumbs up/down with detailed feedback forms,"Quick rating optional detailed feedback","<div class='feedback'><button>👍</button><button>👎</button><textarea placeholder='How to improve?'/></div>","No feedback mechanism provided","Enable system improvement through user input","Feedback aggregation response improvement tracking","Accessible form controls clear feedback purpose","All AI interactions response quality monitoring","No improvement mechanism ignored user corrections",MEDIUM
11,Multi-modal Input Composer,Rich Input,Allow text voice images and file uploads in single composer interface,Unified composer with mode toggles and previews,"Mode switching drag-drop uploads voice recording","<div class='composer'><textarea/><button class='voice'>🎤</button><input type='file'/></div>","<textarea placeholder='Type your message...'> // Text only","Support diverse user input preferences","Multi-modal processing input validation file handling","Keyboard shortcuts screen reader support alt input methods","Creative tasks document analysis accessibility needs","Text-only input limited interaction modes",MEDIUM
12,Response Quality Indicators,Output Assessment,Show indicators of response quality like completeness and accuracy,Quality badges with color-coded ratings,"Hover for quality breakdown improvement suggestions","<div class='quality-badge complete accurate'>High Quality ✓</div>","No quality indication for responses","Help users assess response reliability","Response analysis quality metrics scoring algorithms","Clear quality labels accessible color coding","Professional use cases critical decisions","No quality assessment all responses equal weight",MEDIUM
13,Conversation Thread Management,Organization,Manage multiple conversation threads with clear navigation,Thread list with previews and search functionality,"Thread switching search archiving favorites","<div class='thread-list'><div class='thread active'>Today's Research</div></div>","Single conversation with no organization","Organize complex multi-topic interactions","Conversation persistence search indexing metadata","Keyboard navigation screen reader thread identification","Research projects ongoing support multiple topics","No conversation organization lost context",MEDIUM
14,Real-time Collaboration Indicators,Shared AI,Show when multiple users are interacting with same AI instance,Presence indicators and user avatars with activity status,"Live cursors typing indicators user identification","<div class='users'><div class='user active'>👤 John is asking...</div></div>","No indication of other users in shared sessions","Coordinate multi-user AI interactions","Real-time synchronization presence detection conflict resolution","Announce user actions to screen readers","Team brainstorming collaborative research shared assistance","Invisible collaboration conflicting inputs",MEDIUM
