term,description,examples,anti_patterns,code_example,reasoning,category,priority,platform_specific,dependencies
enterprise-auth,SSO integration with OAuth 2.0 and SAML support,Microsoft Azure AD Okta integration,"Storing credentials in localStorage or cookies without encryption","<button onclick=""loginWithSSO('microsoft')"">Sign in with Microsoft</button>",Enterprise users expect seamless authentication with their existing corporate accounts,Authentication,High,Yes,"OAuth 2.0 library SAML parser corporate identity provider"
audit-logging,Comprehensive audit trail for compliance and security,User action logging data access tracking change history,"Logging sensitive data or insufficient detail for audit requirements","console.log('User', user.id, 'accessed', resource.name, 'at', new Date().toISOString())",Enterprises require detailed audit trails for compliance regulations and security investigations,Logging,Critical,Yes,Audit logging service database for audit records
role-based-access,Granular permission system with role hierarchy,Admin Manager User roles with specific permissions,"Hard-coded permissions or bypassing role checks in development","if (user.hasPermission('users.edit')) { return <EditButton /> }",Enterprise applications need flexible permission systems matching organizational structures,Security,High,Yes,Permission management service role definition system
data-encryption,End-to-end encryption for sensitive enterprise data,AES-256 encryption for data at rest and in transit,"Plain text storage or weak encryption algorithms","const encrypted = CryptoJS.AES.encrypt(data, process.env.ENCRYPTION_KEY)",Enterprises handle sensitive data requiring encryption to meet security and compliance standards,Security,Critical,Yes,Encryption library secure key management system
bulk-operations,Efficient handling of large datasets and batch operations,Import/export thousands of records bulk updates,"Processing large datasets without pagination or progress indicators","<div class=""bulk-progress""><progress value=""45"" max=""100"">45%</progress><span>Processing 4,500 of 10,000 records</span></div>",Enterprise users frequently work with large datasets requiring efficient bulk processing capabilities,Performance,High,Yes,Background job processing progress tracking system
integration-apis,RESTful APIs designed for enterprise system integration,ERP CRM database integration webhooks,"Inconsistent API design or lack of proper error handling","fetch('/api/v1/users', { headers: { 'Authorization': 'Bearer ' + token } })",Enterprises need APIs that integrate seamlessly with existing enterprise software ecosystems,Integration,High,Yes,API gateway authentication middleware rate limiting
white-labeling,Customizable branding and theming for enterprise clients,Custom logos color schemes branded domains,"Hard-coded branding or inflexible theming systems","<div className=""app"" style={{--primary-color: client.brandColor, --logo: client.logoUrl}}>",Enterprise clients often require branded experiences matching their corporate identity,Customization,Medium,Yes,Theme engine asset management custom domain support
reporting-dashboard,Executive dashboards with KPI tracking and data visualization,Business intelligence real-time metrics custom reports,"Static reports or poor mobile responsiveness for executive users","<div class=""kpi-card""><h3>Revenue Growth</h3><div class=""metric"">+15.3%</div><div class=""trend up"">↗</div></div>",Executives need high-level dashboards to make informed business decisions with clear data visualization,Analytics,High,Yes,Charting library data aggregation service KPI calculation engine
compliance-controls,Built-in compliance features for regulatory requirements,GDPR HIPAA SOX compliance automated compliance reporting,"Ignoring regulatory requirements or manual compliance processes","<div className=""data-retention-notice"">This data will be automatically deleted after 90 days per GDPR requirements</div>",Enterprises operate under strict regulatory frameworks requiring automated compliance controls,Compliance,Critical,Yes,Compliance engine regulatory rule sets automated reporting
scalable-architecture,Infrastructure supporting enterprise-scale user loads,Load balancing auto-scaling database optimization,"Single-server deployment or lack of horizontal scaling","<div className=""system-status""><span className=""status healthy"">System Status: Healthy</span><span className=""users"">4,247 active users</span></div>",Enterprise applications must handle thousands of concurrent users with high availability requirements,Architecture,Critical,Yes,Load balancer auto-scaling groups database clustering monitoring system
