term,description,structure,benefits,trade_offs,implementation_guide,examples,testing_approach,category,complexity
feature-slice,Vertical organization of code by business features rather than technical layers,/src/features/user-management/{components types hooks services api},Improved maintainability easier feature additions better team collaboration,Potential code duplication across features initial setup complexity,Create feature directories with index.js exports use absolute imports maintain shared utilities in common folder,Auth feature: {LoginForm UserProfile AuthAPI UserHooks} in single directory,Test entire feature slice as unit with integration tests for feature boundaries,Feature-Based,Medium
hexagonal-architecture,Ports and adapters pattern isolating business logic from external concerns,Core domain surrounded by adapter layer with port interfaces,Technology independence easy testing highly maintainable business logic,Learning curve initial abstraction overhead,Define port interfaces implement adapters for each external system use dependency injection,UserService uses UserRepository port implemented by DatabaseUserAdapter or MockUserAdapter,Mock all ports for unit tests test adapters separately integration tests at boundaries,Hexagonal,High
domain-driven-design,Modeling software based on business domain with ubiquitous language,Bounded contexts aggregates domain entities value objects domain services,Better business alignment reduced complexity improved communication,Requires domain expertise potential over-engineering for simple domains,Identify bounded contexts define aggregate roots create domain services avoid anemic models,E-commerce: Order aggregate with OrderItem entities OrderStatus value object OrderService,Unit test domain entities integration test domain services acceptance test business scenarios,Domain-Driven,High
clean-architecture,Dependency rule with business rules at center UI and infrastructure at edges,Entities UseCases Interface-Adapters Frameworks-Drivers in concentric circles,Independence testability separation of concerns framework agnosticism,Complexity for small applications many abstraction layers,Create use case classes dependency injection from outer layers define clear interfaces,RegisterUser use case depends on UserRepository interface implemented by database layer,Test use cases in isolation mock all dependencies integration tests at boundaries,Clean Architecture,High
component-composition,Building UIs through small composable components rather than large monoliths,Atomic design: atoms molecules organisms templates pages,Reusability consistency easier testing better maintenance,Component proliferation prop drilling without proper state management,Start with atoms build up to organisms use compound components for complex widgets,Button Input FormField SearchForm UserDashboard hierarchy with clear dependencies,Test atoms in isolation integration test organisms mock complex molecule dependencies,Component Architecture,Medium
event-driven-architecture,Components communicate through events rather than direct coupling,Event bus or pub-sub system with event handlers and event emitters,Loose coupling scalability easier feature addition,Debugging complexity event ordering issues potential memory leaks,Use custom event system or library define clear event schemas use TypeScript for event types,UserRegistered event triggers SendWelcomeEmail UpdateAnalytics CreateUserProfile handlers,Test event handlers in isolation integration test event flows end-to-end test scenarios,Feature-Based,High
layered-architecture,Horizontal organization with presentation business data access layers,UI Layer -> Service Layer -> Repository Layer -> Database Layer,Clear separation of concerns technology replacement easier team division,Tight coupling between layers performance overhead from layer traversal,Define clear interfaces between layers avoid bypassing layers use dependency injection,React components -> UserService -> UserRepository -> Database with clear abstractions,Unit test each layer mock adjacent layers integration test layer boundaries,Clean Architecture,Medium
micro-frontends,Decomposing frontend into smaller independent applications,Independent deployable frontend applications with shared design system,Team independence technology diversity independent deployment,Coordination overhead bundle duplication increased complexity,Use module federation or single-spa define clear boundaries share design system and utilities,User management checkout and inventory as separate applications with shared component library,Test each micro-frontend independently integration test application boundaries,Feature-Based,High
modular-monolith,Single deployable application with clear internal module boundaries,Well-defined modules with explicit interfaces and minimal coupling,Simplified deployment clear boundaries easier refactoring to microservices later,Requires discipline to maintain boundaries potential for tight coupling over time,Define module interfaces use dependency injection avoid cross-module data access,Authentication Order Payment modules with clear APIs and database boundaries within single application,Test modules in isolation integration test module interfaces contract test module boundaries,Domain-Driven,Medium
reactive-architecture,UI responds to state changes through reactive patterns and data flow,Unidirectional data flow with reactive streams observables or signals,Predictable state management easier debugging better performance optimizations,Learning curve complexity for simple interactions over-engineering risk,Use state management library implement reactive patterns avoid direct DOM manipulation,"Redux with actions/reducers MobX with observables Vue with reactivity Svelte with stores",Test state transitions unit test reducers/stores integration test component state interactions,Component Architecture,Medium
